pair,label,split,seed,direction,n,raw_active_n,rejected_n,rejected_active_n,rejected_idle_n,accepted_idle_n,active_n,harm_n,benefit_n,unchanged_n,utility,mean_gain,mean_loss,conditional_gain,conditional_loss,intervention,fallback,harm,benefit,harm_active
mkgw_mhyper_native,W-N,dev_oof,1,head,4276,3908,1440,1072,368,0,2836,748,1473,2055,0.0009639898942889716,0.00501740746040549,0.0040534175661165175,0.01456512851370935,0.023171675819136674,0.6632366697848456,0.33676333021515437,0.17492984097287184,0.34448082319925166,0.2637517630465444
mkgw_mhyper_native,W-N,dev_oof,1,tail,4276,3727,1775,1226,549,0,2501,509,239,3528,0.002408940195053637,0.008303370436318352,0.005894430241264716,0.1485573723250932,0.04951784619184267,0.5848924228250701,0.41510757717492985,0.11903648269410665,0.0558933582787652,0.2035185925629748
mkgw_mhyper_native,W-N,dev_oof,2,head,4276,3796,1639,1159,480,0,2637,698,1356,2222,0.0009624818887694626,0.003628351902160467,0.0026658700133910048,0.011441617060205132,0.016331318305529995,0.6166978484565014,0.3833021515434986,0.16323666978484566,0.31711880261927033,0.2646947288585514
mkgw_mhyper_native,W-N,dev_oof,2,tail,4276,4000,1339,1063,276,0,2937,659,274,3343,0.004015471625548653,0.011531267542900092,0.007515795917351439,0.17995510953810506,0.0487671370904321,0.6868568755846586,0.3131431244153414,0.15411599625818523,0.06407857811038353,0.22437861763704461
mkgw_mhyper_native,W-N,dev_oof,3,head,4276,3882,1452,1058,394,0,2824,732,1506,2038,0.001805919053321375,0.0050428615090510375,0.0032369424557296632,0.01431824423154199,0.0189086966403006,0.6604303086997194,0.33956969130028064,0.17118802619270346,0.3521983161833489,0.25920679886685555
mkgw_mhyper_native,W-N,dev_oof,3,tail,4276,3748,1773,1245,528,0,2503,491,309,3476,0.008265811976471292,0.013102529854662369,0.004836717878191075,0.1813152675033537,0.04212180376200618,0.5853601496725912,0.4146398503274088,0.1148269410664172,0.07226379794200187,0.19616460247702758
mkgw_mhyper_native,W-N,test,1,head,4274,3849,1397,972,425,0,2877,772,1473,2029,0.0014061190949742257,0.006342802605841601,0.004936683510867375,0.018404031457818736,0.027330810007055905,0.6731399157697707,0.3268600842302293,0.18062704726251755,0.34464202152550305,0.2683350712547793
mkgw_mhyper_native,W-N,test,1,tail,4274,3706,1854,1286,568,0,2420,426,221,3627,0.0022676395259591535,0.008527389015135342,0.006259749489176188,0.16491430158682557,0.0628032143585423,0.5662143191389799,0.4337856808610201,0.09967243799719233,0.05170800187178287,0.17603305785123968
mkgw_mhyper_native,W-N,test,2,head,4274,3769,1576,1071,505,0,2698,783,1330,2161,0.002027719559926242,0.005260444413682021,0.003232724853755779,0.01690461610832854,0.017645805906707793,0.6312587739822181,0.3687412260177819,0.1832007487131493,0.31118390266729057,0.29021497405485547
mkgw_mhyper_native,W-N,test,2,tail,4274,3970,1306,1002,304,0,2968,639,270,3365,0.0033871243802050476,0.011654223229646054,0.008267098849441004,0.18448203734632304,0.05529511812599508,0.6944314459522696,0.3055685540477305,0.1495086569957885,0.06317267197005147,0.2152964959568733
mkgw_mhyper_native,W-N,test,3,head,4274,3841,1404,971,433,0,2870,829,1417,2028,-8.40521325746657e-05,0.004588662597322146,0.004672714729896812,0.013840468553955435,0.0240906908993715,0.6715021057557323,0.3284978942442677,0.19396350023397285,0.3315395414131961,0.2888501742160279
mkgw_mhyper_native,W-N,test,3,tail,4274,3713,1867,1306,561,0,2407,436,269,3569,0.005675341583165919,0.011085210501404081,0.005409868918238164,0.17612709919331243,0.053031604946215394,0.5631726719700515,0.4368273280299485,0.1020121665886757,0.06293869911090313,0.1811383464894059
mkgw_mhyper_adamf,W-A,dev_oof,1,head,4276,2161,2318,1018,1300,815,1143,244,788,3244,-0.0004485359071333123,0.0013418762974923089,0.0017904122046256213,0.007281552091468417,0.031376240110570316,0.26730589335827876,0.5420954162768943,0.05706267539756782,0.1842843779232928,0.21347331583552057
mkgw_mhyper_adamf,W-A,dev_oof,1,tail,4276,853,1516,459,1057,2366,394,68,247,3961,0.0018843214230475818,0.0033209955866306618,0.0014366741635830798,0.057492215094869265,0.09034145181590074,0.0921421889616464,0.3545369504209542,0.015902712815715623,0.057764265668849395,0.17258883248730963
mkgw_mhyper_adamf,W-A,dev_oof,2,head,4276,2677,2273,1150,1123,476,1527,300,1049,2927,0.00031041209510344355,0.0018636559154783627,0.001553243820374919,0.007596751853751647,0.022138901919743853,0.3571094480823199,0.5315715622076708,0.07015902712815715,0.24532273152478953,0.19646365422396855
mkgw_mhyper_adamf,W-A,dev_oof,2,tail,4276,1001,1969,636,1333,1942,365,55,218,4003,0.002290733457498616,0.003701320484166752,0.0014105870266681356,0.07260021279952766,0.10966672956423541,0.0853601496725912,0.46047708138447146,0.012862488306828812,0.0509822263797942,0.1506849315068493
mkgw_mhyper_adamf,W-A,dev_oof,3,head,4276,2348,2470,1159,1311,617,1189,231,839,3206,0.0009102765025586043,0.0019341446240400038,0.0010238681214813994,0.009857452219779565,0.018952641071231447,0.27806361085126285,0.5776426566884939,0.05402245088868101,0.1962114125350795,0.19428090832632464
mkgw_mhyper_adamf,W-A,dev_oof,3,tail,4276,926,1821,546,1275,2075,380,63,226,3987,0.0022761738397462025,0.00391729572066014,0.001641121880913938,0.0741166216882423,0.11138789147282539,0.08886810102899906,0.42586529466791395,0.014733395696913003,0.052853133769878394,0.16578947368421051
mkgw_mhyper_adamf,W-A,test,1,head,4274,2276,2295,1076,1219,779,1200,228,833,3213,0.00041596373286390106,0.0023713836226033694,0.0019554198897394686,0.012167219211292678,0.03665554652958986,0.28076743097800655,0.5369677117454376,0.05334581188582124,0.19489939167056622,0.19
mkgw_mhyper_adamf,W-A,test,1,tail,4274,862,1588,489,1099,2313,373,52,234,3988,0.0008071121690007738,0.0024607290508557034,0.0016536168818549293,0.04494511095451827,0.13591458755861474,0.08727187646233037,0.371548900327562,0.012166588675713618,0.05474964904071128,0.13941018766756033
mkgw_mhyper_adamf,W-A,test,2,head,4274,2772,2208,1147,1061,441,1625,313,1127,2834,0.0005613598981463231,0.0020854435379865197,0.0015240836398401963,0.007908771678220395,0.02081128906286581,0.38020589611605055,0.516612072999532,0.07323350491343004,0.26368741226017783,0.1926153846153846
mkgw_mhyper_adamf,W-A,test,2,tail,4274,987,1958,613,1345,1942,374,51,213,4010,0.0020797778139534247,0.0033197173338475896,0.0012399395198941648,0.06661254406039717,0.10391179427505216,0.08750584932147872,0.45811885821244736,0.011932615816565278,0.049836218998596166,0.13636363636363635
mkgw_mhyper_adamf,W-A,test,3,head,4274,2358,2396,1082,1314,602,1276,229,911,3134,0.0009139172842394419,0.0016548285247529697,0.0007409112405135282,0.007763707041486491,0.013828186209409688,0.2985493682732803,0.5605989705194198,0.053579784744969584,0.21314927468413664,0.17946708463949843
mkgw_mhyper_adamf,W-A,test,3,tail,4274,901,1812,545,1267,2106,356,55,222,3997,0.0013053387747172795,0.0027416813840548727,0.0014363426093375931,0.052783541601128484,0.11161687840561585,0.0832943378568086,0.42395882077678987,0.012868507253158634,0.05194197473093121,0.1544943820224719
db15k_mhyper_native,D-N,dev_oof,1,head,7922,4644,5773,3309,2464,814,1335,222,519,7181,-0.00013719544585535443,0.000666107562880738,0.0008033030087360924,0.010167445304703673,0.028665614573005965,0.16851805099722292,0.7287301186569048,0.02802322645796516,0.06551375915172936,0.1662921348314607
db15k_mhyper_native,D-N,dev_oof,1,tail,7922,973,6784,884,5900,1049,89,14,26,7882,-5.3031356710566454e-05,1.4209519037879109e-05,6.724087574844555e-05,0.004329531146849165,0.03804872983422756,0.011234536733148195,0.8563494067154759,0.0017672304973491543,0.003281999495077001,0.15730337078651685
db15k_mhyper_native,D-N,dev_oof,2,head,7922,3835,6190,3081,3109,978,754,98,297,7527,0.00011790370377866788,0.0003800180586450019,0.00026211435486633405,0.010136373941366012,0.021188468563786717,0.09517798535723303,0.7813683413279475,0.01237061348144408,0.0374905326937642,0.129973474801061
db15k_mhyper_native,D-N,dev_oof,2,tail,7922,411,5944,373,5571,1940,38,10,11,7901,7.182367985788412e-05,9.546257565594732e-05,2.36388957980632e-05,0.06875041130421952,0.018726733251225668,0.004796768492804847,0.7503155768745267,0.0012623074981065387,0.0013885382479171926,0.2631578947368421
db15k_mhyper_native,D-N,dev_oof,3,head,7922,5368,4844,3015,1829,725,2353,419,1006,6497,-0.00012813762632104847,0.0017347369895512924,0.0018628746158723408,0.013660622695055009,0.035221223644249844,0.29702095430446857,0.6114617520828074,0.052890684170663976,0.1269881343095178,0.1780705482362941
db15k_mhyper_native,D-N,dev_oof,3,tail,7922,1561,6939,1323,5616,745,238,20,70,7832,7.572176821462915e-05,0.00012653144188995945,5.080967367533029e-05,0.014319744037889407,0.020125711742798324,0.030042918454935622,0.8759151729361272,0.0025246149962130774,0.008836152486745772,0.08403361344537816
db15k_mhyper_native,D-N,test,1,head,9902,5587,7754,4352,3402,913,1235,229,495,9178,-0.00021661664903475242,0.0007290331700978357,0.0009456498191325884,0.014583608990522766,0.04089006335830082,0.12472227832761058,0.7830741264391032,0.023126641082609575,0.04998990103009493,0.1854251012145749
db15k_mhyper_native,D-N,test,1,tail,9902,1074,8918,1024,7894,934,50,5,21,9876,1.5804648919224822e-05,1.635486115145554e-05,5.502122322307184e-07,0.007711706434367273,0.0010896403047097147,0.005049484952534842,0.9006261361341144,0.0005049484952534841,0.0021207836800646333,0.1
db15k_mhyper_native,D-N,test,2,head,9902,4617,8291,4196,4095,1190,421,81,186,9635,-5.8391917720076395e-05,0.00024953652456049077,0.00030792844228056716,0.013284465947300964,0.037643301672372544,0.042516663300343364,0.8373055948293274,0.008180165623106443,0.01878408402342961,0.19239904988123516
db15k_mhyper_native,D-N,test,2,tail,9902,460,7913,425,7488,1954,35,1,19,9882,7.754887330702302e-05,7.754945554737693e-05,5.822403539206729e-10,0.04041551099105929,5.765343984522503e-06,0.003534639466774389,0.799131488588164,0.00010098969905069682,0.0019188042819632397,0.02857142857142857
db15k_mhyper_native,D-N,test,3,head,9902,6566,6182,3740,2442,894,2826,509,1256,8137,-0.00028804544277247636,0.002075640173658746,0.0023636856164312224,0.0163638447448797,0.045982740616703266,0.2853968895172692,0.6243183195314078,0.05140375681680469,0.12684306200767523,0.18011323425336165
db15k_mhyper_native,D-N,test,3,tail,9902,1839,9198,1728,7470,593,111,21,42,9839,-1.763904048414825e-05,6.93291067573991e-05,8.696814724154736e-05,0.01634516226456586,0.041007552094562,0.011209856594627348,0.9289032518683095,0.0021207836800646333,0.004241567360129267,0.1891891891891892
db15k_mhyper_adamf,D-A,dev_oof,1,head,7922,4582,7214,4538,2676,664,44,12,25,7885,-6.273766322162564e-05,0.00022523608122544228,0.000287973744447068,0.07137280941871815,0.19011066695913936,0.00555415299166877,0.9106286291340571,0.0015147689977278464,0.0031557687452663467,0.2727272727272727
db15k_mhyper_adamf,D-A,dev_oof,1,tail,7922,1686,7878,1675,6203,33,11,3,6,7913,-3.0222658144921865e-05,3.433470500638757e-05,6.455736315130942e-05,0.045333255510100395,0.17047447696155774,0.0013885382479171926,0.9944458470083313,0.0003786922494319616,0.0007573844988639232,0.2727272727272727
db15k_mhyper_adamf,D-A,dev_oof,2,head,7922,5001,7455,4941,2514,407,60,16,37,7869,0.00028270527391925014,0.00045182761257720117,0.000169122338657951,0.09673995531990778,0.083736697928018,0.007573844988639233,0.9410502398384246,0.002019691996970462,0.004670537742994194,0.26666666666666666
db15k_mhyper_adamf,D-A,dev_oof,2,tail,7922,2031,7860,2019,5841,50,12,3,8,7911,-3.776507031696411e-05,2.745904593281988e-05,6.522411624978401e-05,0.027191320234974888,0.1722351496435963,0.0015147689977278464,0.9921736935117395,0.0003786922494319616,0.001009845998485231,0.25
db15k_mhyper_adamf,D-A,dev_oof,3,head,7922,4463,7219,4425,2794,665,38,10,19,7893,5.014044839815902e-05,0.00021068612855402303,0.00016054568015586403,0.08784502686341951,0.1271842878194755,0.004796768492804847,0.9112597828831104,0.0012623074981065387,0.0023983842464024236,0.2631578947368421
db15k_mhyper_adamf,D-A,dev_oof,3,tail,7922,1437,7863,1429,6434,51,8,0,4,7918,1.653960895202683e-05,1.653960895202683e-05,0.0,0.032756695529489135,,0.001009845998485231,0.9925523857611714,0.0,0.0005049229992426155,0.0
db15k_mhyper_adamf,D-A,test,1,head,9902,5922,8970,5852,3118,862,70,16,45,9841,0.000288695096878944,0.0003176148621391273,2.8919765260183224e-05,0.06988938588670307,0.01789771972539589,0.007069278933548778,0.9058776004847505,0.0016158351848111492,0.004544536457281357,0.22857142857142856
db15k_mhyper_adamf,D-A,test,1,tail,9902,2399,9849,2387,7462,41,12,3,7,9892,9.747002056649808e-05,9.927886775914272e-05,1.808847192644653e-06,0.14043704979300445,0.005970401633855785,0.001211876388608362,0.994647545950313,0.0003029690971520905,0.0007069278933548778,0.25
db15k_mhyper_adamf,D-A,test,2,head,9902,6562,9800,6468,3332,8,94,13,64,9825,0.0005342003810482885,0.0005489147453204182,1.4714364272129618e-05,0.08492740325254342,0.01120781807866365,0.009493031710765503,0.989699050696829,0.0013128660876590588,0.006463340739244597,0.13829787234042554
db15k_mhyper_adamf,D-A,test,2,tail,9902,2864,9812,2837,6975,63,27,5,17,9880,0.0001412415423039399,0.00019358119033240076,5.233964802846083e-05,0.11275534980420189,0.10365343895556382,0.0027267218743688144,0.9909109270854373,0.0005049484952534841,0.0017168248838618462,0.18518518518518517
db15k_mhyper_adamf,D-A,test,3,head,9902,5914,8986,5862,3124,864,52,13,36,9853,0.00018564132968051247,0.00037673412785050876,0.00019109279816999634,0.1036228148326594,0.14555391442148485,0.005251464350636235,0.9074934356695618,0.0013128660876590588,0.003635629165825086,0.25
db15k_mhyper_adamf,D-A,test,3,tail,9902,2095,9831,2083,7748,59,12,6,5,9891,2.2073165407811014e-05,2.3187592747614904e-05,1.1144273398038923e-06,0.04592070867737656,0.001839176586456357,0.001211876388608362,0.9928297313674005,0.000605938194304181,0.0005049484952534841,0.5
mkgw_native_adamf,W-NA,dev_oof,1,head,4276,3759,4229,3712,517,0,47,19,11,4246,-0.00024125066980606894,0.00023394414169079843,0.00047519481149686733,0.09094046816998672,0.1069438428400318,0.010991580916744622,0.9890084190832554,0.004443405051449953,0.0025724976613657625,0.40425531914893614
mkgw_native_adamf,W-NA,dev_oof,1,tail,4276,3235,3894,2853,1041,0,382,88,155,4033,0.0008746144867441105,0.002955789141264307,0.002081174654520196,0.08154164108416888,0.10112616844009499,0.08933582787652011,0.9106641721234799,0.0205799812909261,0.0362488306828812,0.23036649214659685
